x,y,vx,vy,rho,e,P
1.0109,0.0223471,-0.0719509,0.0062776,11.6951,1.79438,13.9903
0.00170491,0.0445842,0.079664,0.00994685,12.3962,1.79374,14.8237
0.0246299,0.0443461,-0.0225669,-0.00297158,14.3427,1.79583,17.1714
0.0500758,0.044504,0.00493205,0.0054966,12.3738,1.79501,14.8074
0.0749638,0.0444742,-0.00200457,0.00380478,12.7048,1.79502,15.2035
0.0999946,0.0444774,-9.37234e-05,0.00404619,12.5988,1.79499,15.0765
0.124999,0.0444795,-7.27874e-05,0.00409389,12.6245,1.795,15.1073
0.150002,0.0444816,9.2324e-05,0.00418676,12.6208,1.795,15.1029
0.175002,0.0444822,9.32809e-05,0.0042078,12.622,1.795,15.1044
0.200002,0.0444822,8.41673e-05,0.00420726,12.6221,1.795,15.1044
0.225002,0.0444821,7.6233e-05,0.00420278,12.6221,1.795,15.1045
0.250002,0.044482,7.17553e-05,0.00419929,12.6221,1.795,15.1045
0.275002,0.0444819,6.97981e-05,0.00419754,12.6221,1.795,15.1045
0.300002,0.0444819,6.94057e-05,0.00419704,12.6221,1.795,15.1045
0.325002,0.0444819,6.96776e-05,0.00419713,12.6221,1.795,15.1044
0.350002,0.0444819,7.00346e-05,0.00419736,12.6221,1.795,15.1044
0.375002,0.0444819,7.02579e-05,0.00419752,12.6221,1.795,15.1044
0.400002,0.0444819,7.03412e-05,0.00419759,12.6221,1.795,15.1044
0.425002,0.0444819,7.03458e-05,0.00419761,12.6221,1.795,15.1044
0.450002,0.0444819,7.0325e-05,0.0041976,12.6221,1.795,15.1044
0.475002,0.0444819,7.03061e-05,0.00419759,12.6221,1.795,15.1044
0.500002,0.0444819,7.02962e-05,0.00419758,12.6221,1.795,15.1044
0.525002,0.0444819,7.02934e-05,0.00419757,12.6221,1.795,15.1044
0.550002,0.0444819,7.02939e-05,0.00419757,12.6221,1.795,15.1044
0.575002,0.0444819,7.02952e-05,0.00419758,12.6221,1.795,15.1044
0.600002,0.0444819,7.02961e-05,0.00419758,12.6221,1.795,15.1044
0.625002,0.0444819,7.02965e-05,0.00419758,12.6221,1.795,15.1044
0.650002,0.0444819,7.02966e-05,0.00419758,12.6221,1.795,15.1044
0.675002,0.0444819,7.02964e-05,0.00419758,12.6221,1.795,15.1044
0.700002,0.0444819,7.02961e-05,0.00419758,12.6221,1.795,15.1044
0.725002,0.0444819,7.02965e-05,0.00419757,12.6221,1.795,15.1044
0.750002,0.0444819,7.02994e-05,0.00419754,12.6221,1.795,15.1044
0.775002,0.0444819,7.01502e-05,0.00419747,12.6221,1.795,15.1045
0.800002,0.0444819,6.89328e-05,0.0041974,12.6221,1.795,15.1045
0.825002,0.0444819,6.60316e-05,0.00419685,12.6221,1.795,15.1044
0.850002,0.0444818,6.69575e-05,0.00419264,12.6219,1.795,15.1042
0.875002,0.0444815,8.13929e-05,0.00417972,12.6216,1.795,15.1038
0.900003,0.044481,0.000125226,0.0041617,12.6207,1.795,15.1028
0.92501,0.0444806,0.000392162,0.00414486,12.6194,1.795,15.1012
0.950024,0.0444813,0.000937046,0.00416983,12.6136,1.79499,15.0941
0.975071,0.0444798,0.00316892,0.00437066,12.6354,1.79514,15.1216
0.999627,0.044185,-0.0149522,-0.0128757,13.478,1.79554,16.1335
0.0129557,0.0664367,0.0189023,-0.00916828,13.0024,1.79543,15.5633
0.0374298,0.0665966,-0.00267243,-0.000672241,12.7921,1.79515,15.3092
0.062479,0.0665523,-0.00110509,-0.00340999,12.9309,1.79501,15.474
0.0874916,0.0665691,-0.000226877,-0.00239835,12.8445,1.795,15.3706
0.112499,0.0665718,-5.91733e-05,-0.00236283,12.874,1.795,15.4059
0.137502,0.0665741,7.29972e-05,-0.00225378,12.8684,1.79501,15.3992
0.162501,0.0665741,3.55464e-05,-0.00225654,12.8704,1.79501,15.4016
0.187501,0.0665738,2.22007e-05,-0.00226701,12.87,1.79501,15.4012
0.2125,0.0665736,1.87635e-05,-0.00227504,12.87,1.79501,15.4012
0.2375,0.0665735,1.83284e-05,-0.00227872,12.87,1.79501,15.4011
0.2625,0.0665735,1.81633e-05,-0.00227975,12.87,1.79501,15.4011
0.2875,0.0665735,1.81921e-05,-0.00227961,12.87,1.79501,15.4011
0.3125,0.0665735,1.83494e-05,-0.00227917,12.87,1.79501,15.4011
0.3375,0.0665735,1.84898e-05,-0.00227884,12.87,1.79501,15.4011
0.3625,0.0665735,1.85589e-05,-0.00227869,12.87,1.79501,15.4011
0.3875,0.0665735,1.85738e-05,-0.00227865,12.87,1.79501,15.4011
0.4125,0.0665735,1.85659e-05,-0.00227867,12.87,1.79501,15.4011
0.4375,0.0665735,1.85549e-05,-0.0022787,12.87,1.79501,15.4011
0.4625,0.0665735,1.8548e-05,-0.00227871,12.87,1.79501,15.4011
0.4875,0.0665735,1.85453e-05,-0.00227872,12.87,1.79501,15.4011
0.5125,0.0665735,1.85451e-05,-0.00227872,12.87,1.79501,15.4011
0.5375,0.0665735,1.85457e-05,-0.00227872,12.87,1.79501,15.4011
0.5625,0.0665735,1.85463e-05,-0.00227872,12.87,1.79501,15.4011
0.5875,0.0665735,1.85466e-05,-0.00227872,12.87,1.79501,15.4011
0.6125,0.0665735,1.85467e-05,-0.00227872,12.87,1.79501,15.4011
0.6375,0.0665735,1.85467e-05,-0.00227872,12.87,1.79501,15.4011
0.6625,0.0665735,1.85467e-05,-0.00227872,12.87,1.79501,15.4011
0.6875,0.0665735,1.85465e-05,-0.00227871,12.87,1.79501,15.4011
0.7125,0.0665735,1.85478e-05,-0.00227871,12.87,1.79501,15.4011
0.7375,0.0665735,1.85687e-05,-0.00227871,12.87,1.79501,15.4011
