x,vx,rho,e,P
0.362991,-0.00224876,0.628223,15.0045,3.77046
0.365989,-0.00261375,0.628302,15.0052,3.77112
0.368986,-0.00296332,0.628378,15.0059,3.77176
0.371983,-0.00328726,0.628448,15.0067,3.77237
0.374979,-0.00367049,0.628533,15.0074,3.77307
0.377975,-0.0040293,0.628658,15.0078,3.77391
0.380971,-0.00397329,0.628554,15.0036,3.77224
0.38397,0.0022953,0.627187,14.9848,3.7593
0.386981,0.0253141,0.622314,14.9339,3.71745
0.390028,0.0681947,0.612708,14.8426,3.63769
0.393136,0.133639,0.600244,14.7273,3.53602
0.396305,0.191793,0.587104,14.6047,3.42981
0.399552,0.244635,0.576892,14.5044,3.34701
0.40283,0.284177,0.569129,14.4232,3.28347
0.406166,0.309641,0.562706,14.3545,3.23095
0.409525,0.349719,0.557207,14.2937,3.18583
0.412924,0.371301,0.550215,14.2219,3.13005
0.416375,0.418399,0.543824,14.1542,3.07897
0.419848,0.447076,0.536252,14.0756,3.01923
0.423403,0.49122,0.529197,14.001,2.96374
0.426964,0.528053,0.521895,13.9223,2.9064
0.430621,0.565212,0.514565,13.8443,2.84952
0.434284,0.609144,0.50762,13.767,2.79536
0.438042,0.6425,0.500202,13.6868,2.73848
0.441816,0.690274,0.49318,13.608,2.68449
0.445679,0.722297,0.485811,13.5266,2.62856
0.449571,0.772909,0.478909,13.4478,2.57611
0.453543,0.804079,0.47156,13.3654,2.52105
0.45756,0.854742,0.464684,13.2867,2.46964
0.461647,0.885275,0.457965,13.2093,2.41976
0.465786,0.932701,0.45181,13.1374,2.37424
0.469982,0.956326,0.445728,13.0654,2.32946
0.474238,1.00407,0.440317,12.9999,2.28963
0.478534,1.02871,0.434354,12.9284,2.24621
0.482912,1.07304,0.428456,12.8573,2.20352
0.487328,1.10737,0.422584,12.784,2.16094
0.491826,1.15219,0.415802,12.7016,2.11255
0.49639,1.19303,0.408983,12.6163,2.06394
0.501037,1.24956,0.401477,12.5224,2.01099
0.505776,1.29276,0.393539,12.4229,1.95555
0.510612,1.35776,0.385558,12.3197,1.89999
0.515547,1.40534,0.377164,12.2113,1.84227
0.520603,1.47501,0.368524,12.0996,1.7836
0.525769,1.52783,0.360062,11.9936,1.72738
0.531057,1.58478,0.353342,11.9112,1.6835
0.536415,1.59614,0.350906,11.8791,1.66738
0.54177,1.58008,0.352415,11.8933,1.67656
0.547091,1.55228,0.355979,11.934,1.69931
0.552347,1.52794,0.359682,11.9814,1.72379
0.557564,1.49991,0.363359,12.0306,1.74858
0.562715,1.4757,0.366964,12.0757,1.77254
0.56783,1.45715,0.369766,12.1133,1.79163
0.572907,1.44517,0.371748,12.1391,1.80508
0.577965,1.43888,0.37287,12.1538,1.81271
0.583011,1.43562,0.373444,12.1646,1.81712
0.588053,1.43492,0.373628,12.1643,1.81796
0.593093,1.4348,0.373627,12.1684,1.81858
0.598134,1.43462,0.373641,12.1665,1.81836
0.603174,1.4335,0.373744,12.1679,1.81907
0.608212,1.43277,0.373917,12.1719,1.82051
0.613247,1.43253,0.373976,12.168,1.82021
0.618284,1.43235,0.373979,12.173,1.82097
0.623319,1.43346,0.373804,12.1655,1.819
0.628362,1.43597,0.373462,12.1649,1.81726
0.633403,1.43988,0.372924,12.1568,1.81343
0.638464,1.44053,0.372902,12.1588,1.81362
0.643499,1.43937,0.372845,12.151,1.81218
0.64857,1.43873,0.373211,12.1686,1.81658
0.653585,1.43917,0.372819,12.1393,1.8103
0.658683,1.43915,0.373374,12.1847,1.81978
0.663658,1.43911,0.372594,12.1248,1.80705
0.668815,1.43913,0.373921,12.2021,1.82505
0.673697,1.43964,0.372048,12.1206,1.80377
0.678992,1.43982,0.375525,12.2283,1.83682
0.683646,1.43966,0.371951,12.1431,1.80665
0.689242,1.43928,0.381956,12.3151,1.88153
0.693336,1.43896,0.375392,12.2806,1.84401
0.699462,1.4385,0.415096,12.9436,2.14914
0.702229,1.43833,0.423123,14.0769,2.38251
0.706919,1.43801,2.23234,0.597099,0.53317
0.707296,1.43808,2.67081,1.48338,1.58473
0.708241,1.4381,2.4983,1.8983,1.89701
0.708896,1.43822,2.5557,1.7886,1.82844
0.709683,1.43852,2.59623,1.73245,1.79913
0.710363,1.43836,2.65866,1.70231,1.81035
0.711093,1.43848,2.66944,1.70037,1.81561
0.71178,1.43856,2.6966,1.68013,1.81226
0.712487,1.43833,2.70192,1.67601,1.81138
0.713177,1.43855,2.7112,1.67445,1.81591
0.713875,1.43854,2.71393,1.67434,1.81762
0.714565,1.43816,2.72502,1.6663,1.81628
0.715257,1.43833,2.73514,1.65833,1.81431
0.715943,1.43823,2.74108,1.65216,1.81148
0.716631,1.43844,2.7363,1.65591,1.81243
0.717321,1.43868,2.72134,1.66761,1.81525
0.718016,1.43803,2.69853,1.68373,1.81744
0.718717,1.43873,2.67762,1.69913,1.81985
0.719422,1.4388,2.6597,1.7105,1.81976
0.720132,1.43737,2.64758,1.71723,1.81861
0.720845,1.43858,2.64198,1.72115,1.81889
