x,y,z,vx,vy,vz,rho,P
-0.0803055,2.25539e-15,0.0279916,0.351245,1.09396e-14,-0.0921835,16292.4,2.65441e+07
0.162988,0.0695149,0.0321746,-0.219811,0.00303123,-0.103497,14728.6,2.16931e+07
0.110529,-0.101749,0.0989902,-0.160104,0.0954141,-0.266326,14768.8,2.18118e+07
0.0630714,-0.166925,-0.0386604,-0.221073,0.244911,0.176863,16647.3,2.77133e+07
-0.13841,-0.0750141,0.108217,0.179016,-0.18349,-0.254941,15545.4,2.41659e+07
-0.101878,-0.145046,-0.0428847,0.210249,0.336743,0.00795201,15037.9,2.26138e+07
0.107696,-0.147517,0.0329516,-0.199651,0.264659,-0.0662908,14545.6,2.11575e+07
0.0289679,-0.167832,0.0895531,-0.00580436,0.150555,-0.324133,13250.7,1.75582e+07
-0.0363696,-0.178805,-0.0110942,0.309776,0.308997,0.00827299,13968.2,1.95111e+07
-0.0573523,-0.173643,0.0500018,0.149211,0.322789,0.0199083,13689.2,1.87393e+07
-0.0192779,-0.0662463,-0.020848,-0.0430569,-0.0188927,-0.00528176,20085.3,4.03418e+07
0.107696,0.147517,0.0329516,-0.199651,-0.264659,-0.0662908,14545.6,2.11575e+07
-0.021202,0.0856986,-0.158181,0.106376,-0.0779231,0.23391,13344,1.78063e+07
-0.0363696,0.178805,-0.0110942,0.309776,-0.308997,0.00827299,13968.2,1.95111e+07
-0.0650188,0.144842,-0.104522,0.193376,-0.219561,0.106952,15158.7,2.29788e+07
-0.0192779,0.0662463,-0.020848,-0.0430569,0.0188927,-0.00528176,20085.3,4.03418e+07
0.162988,-0.0695149,0.0321746,-0.219811,-0.00303123,-0.103497,14728.6,2.16931e+07
0.077205,0.0477912,-0.123945,-0.206601,-0.0278106,0.211164,14971.7,2.24151e+07
0.0630714,0.166925,-0.0386604,-0.221073,-0.244911,0.176863,16647.3,2.77133e+07
-0.00625676,0.0532605,-0.138385,0.112495,0.0855041,0.246988,15198.4,2.3099e+07
-0.101878,0.145046,-0.0428847,0.210249,-0.336743,0.00795201,15037.9,2.26138e+07
0.0965185,9.48988e-15,0.0173486,-0.408451,5.67237e-14,-0.118031,16516.3,2.72789e+07
-0.0356608,1.57524e-15,-0.155349,0.0895591,-1.55149e-14,0.157573,15029.6,2.2589e+07
-0.049875,-1.1621e-16,-0.0549391,0.221789,4.39771e-14,0.240921,21156.8,4.47612e+07
-0.112839,1.01049e-14,-0.162254,0.0195467,-1.33133e-14,0.262366,14113.5,1.99191e+07
-0.0803055,2.16922e-15,0.0279916,0.351245,1.0695e-14,-0.0921835,16292.4,2.65441e+07
0.162988,0.0695149,0.0321746,-0.219811,0.00303123,-0.103497,14728.6,2.16931e+07
0.077205,-0.0477912,-0.123945,-0.206601,0.0278106,0.211164,14971.7,2.24151e+07
0.0630714,-0.166925,-0.0386604,-0.221073,0.244911,0.176863,16647.3,2.77133e+07
-0.00625676,-0.0532605,-0.138385,0.112495,-0.0855041,0.246988,15198.4,2.3099e+07
-0.101878,-0.145046,-0.0428847,0.210249,0.336743,0.00795201,15037.9,2.26138e+07
0.107696,-0.147517,0.0329516,-0.199651,0.264659,-0.0662908,14545.6,2.11575e+07
-0.021202,-0.0856986,-0.158181,0.106376,0.0779231,0.23391,13344,1.78063e+07
-0.0363696,-0.178805,-0.0110942,0.309776,0.308997,0.00827299,13968.2,1.95111e+07
-0.0650188,-0.144842,-0.104522,0.193376,0.219561,0.106952,15158.7,2.29788e+07
-0.0192779,-0.0662463,-0.020848,-0.0430569,-0.0188927,-0.00528176,20085.3,4.03418e+07
-0.0520604,-0.10848,0.141066,-0.130165,0.0191698,-0.160063,13924.9,1.93901e+07
0.0612433,0.115111,-0.00896949,-0.147243,-0.345234,0.13596,17866.7,3.19218e+07
0.0477999,-0.00792928,-0.048433,0.0827976,0.024878,0.0428138,19695.5,3.87912e+07
-0.181518,0.0804395,0.00632586,0.241657,-0.245217,0.0405907,16935.3,2.86805e+07
0.0184639,-0.119114,0.0828547,-0.0255224,0.185519,-0.362784,14020,1.9656e+07
0.00445679,-0.167025,0.0709375,-0.0143912,0.156262,-0.284408,13653.9,1.8643e+07
-0.00831378,0.0124456,0.0220709,-0.0844103,0.0995383,0.0994887,20478.4,4.19366e+07
0.0101672,-0.124834,-0.141825,0.0231683,0.198783,0.254273,15260.9,2.32894e+07
0.0143824,0.0692842,-0.0561785,-0.0646709,-0.152283,0.214172,19549.7,3.82189e+07
-0.149191,-0.0792844,-0.0131295,0.286028,0.268189,0.0201102,14382.8,2.06865e+07
0.182299,-7.57709e-16,0.0169876,-0.24068,-4.33341e-14,-0.120831,15282.8,2.33563e+07
0.0508279,-4.00522e-15,-0.183099,-0.116994,-1.35974e-15,0.104126,14572.5,2.12357e+07
