x,vx,rho,e,P
0.22125,-1.03022e-14,1.00442,2.5,1.00442
0.223125,-2.98428e-17,1.00442,2.5,1.00442
0.225,1.00421e-14,1.00442,2.5,1.00442
0.226875,-1.29354e-15,1.00442,2.5,1.00442
0.22875,-3.20561e-15,1.00442,2.5,1.00442
0.230625,-8.17941e-15,1.00442,2.5,1.00442
0.2325,-1.1196e-14,1.00442,2.5,1.00442
0.234375,-1.72619e-14,1.00442,2.5,1.00442
0.23625,-2.06008e-14,1.00442,2.5,1.00442
0.238125,-3.40556e-14,1.00442,2.5,1.00442
0.24,-1.8936e-15,1.00442,2.5,1.00442
0.241875,1.00538e-14,1.00442,2.5,1.00442
0.24375,-3.44826e-15,1.00442,2.5,1.00442
0.245625,-8.09628e-15,1.00442,2.5,1.00442
0.2475,-2.17472e-14,1.00442,2.5,1.00442
0.249375,-2.4405e-14,1.00442,2.5,1.00442
0.25125,2.36017e-14,1.00442,2.5,1.00442
0.253125,8.47322e-16,1.00442,2.5,1.00442
0.255,-1.4705e-14,1.00442,2.5,1.00442
0.256875,-6.27551e-15,1.00442,2.5,1.00442
0.25875,-2.07102e-14,1.00442,2.5,1.00442
0.260625,-3.26178e-14,1.00442,2.5,1.00442
0.2625,-4.19959e-14,1.00442,2.5,1.00442
0.264375,-4.23427e-14,1.00442,2.5,1.00442
0.26625,-5.03043e-14,1.00442,2.5,1.00442
0.268125,-6.22808e-14,1.00442,2.5,1.00442
0.27,-7.76957e-14,1.00442,2.5,1.00442
0.271875,-1.67468e-14,1.00442,2.5,1.00442
0.27375,-3.73799e-14,1.00442,2.5,1.00442
0.275625,-6.01496e-14,1.00442,2.5,1.00442
0.2775,-2.73239e-15,1.00442,2.5,1.00442
0.279375,-1.43828e-14,1.00442,2.5,1.00442
0.28125,-2.39258e-14,1.00442,2.5,1.00442
0.283125,-3.41199e-14,1.00442,2.5,1.00442
0.285,2.21018e-14,1.00442,2.5,1.00442
0.286875,-3.75202e-15,1.00442,2.5,1.00442
0.28875,-3.0748e-14,1.00442,2.5,1.00442
0.290625,1.12045e-14,1.00442,2.5,1.00442
0.2925,1.33618e-15,1.00442,2.5,1.00442
0.294375,-1.14103e-14,1.00442,2.5,1.00442
0.29625,-2.20947e-14,1.00442,2.5,1.00442
0.298125,3.38403e-14,1.00442,2.5,1.00442
0.3,6.51816e-15,1.00442,2.5,1.00442
0.301875,-2.1619e-14,1.00442,2.5,1.00442
0.30375,1.12045e-14,1.00442,2.5,1.00442
0.305625,1.33618e-15,1.00442,2.5,1.00442
0.3075,-1.14103e-14,1.00442,2.5,1.00442
0.309375,-2.20947e-14,1.00442,2.5,1.00442
0.31125,3.38403e-14,1.00442,2.5,1.00442
0.313125,6.51816e-15,1.00442,2.5,1.00442
0.315,-2.1619e-14,1.00442,2.5,1.00442
0.316875,2.81968e-14,1.00442,2.5,1.00442
0.31875,1.93069e-14,1.00442,2.5,1.00442
0.320625,7.31859e-15,1.00442,2.5,1.00442
0.3225,-4.67004e-15,1.00442,2.5,1.00442
0.324375,5.34797e-14,1.00442,2.5,1.00442
0.32625,2.81133e-14,1.00442,2.5,1.00442
0.328125,2.91109e-15,1.00442,2.5,1.00442
0.33,5.41995e-14,1.00442,2.5,1.00442
0.331875,3.80876e-14,1.00442,2.5,1.00442
0.33375,2.00643e-14,1.00442,2.5,1.00442
0.335625,3.8348e-15,1.00442,2.5,1.00442
0.3375,-5.19265e-15,1.00442,2.5,1.00442
0.339375,-2.15231e-14,1.00442,2.5,1.00442
0.34125,-3.97112e-14,1.00442,2.5,1.00442
0.343125,-5.59421e-14,1.00442,2.5,1.00442
0.345,-1.63283e-15,1.00442,2.5,1.00442
0.346875,-2.65093e-14,1.00442,2.5,1.00442
0.34875,-5.26875e-14,1.00442,2.5,1.00442
