x,vx,rho,e,P
0.250475,0.000619393,1,2.50052,1
0.252343,0.000596159,1,2.5005,1
0.254212,0.000564063,1,2.50047,1
0.25608,0.000524725,1,2.50044,1
0.257948,0.000480142,1,2.5004,1
0.259817,0.000432462,1,2.50036,1
0.261685,0.000383664,1,2.50032,1
0.263554,0.000335447,1,2.50028,1
0.265423,0.000289187,1,2.50024,1
0.267291,0.000245926,1,2.5002,1
0.26916,0.000206379,1,2.50017,1
0.271029,0.000170968,1,2.50014,1
0.272898,0.000139858,1,2.50011,1
0.274767,0.000113007,1,2.50009,1
0.276636,9.02127e-05,1,2.50007,1
0.278505,7.1163e-05,1,2.50006,1
0.280374,5.54753e-05,1,2.50005,1
0.282243,4.27334e-05,1,2.50003,1
0.284112,3.25141e-05,1,2.50003,1
0.285981,2.44084e-05,1,2.50002,1
0.287851,1.8034e-05,1,2.50002,1
0.28972,1.30426e-05,1,2.50001,1
0.291589,9.12242e-06,1,2.50001,1
0.293458,5.99569e-06,1,2.50001,1
0.295327,3.4141e-06,1,2.50001,1
0.297196,1.15149e-06,1,2.5,1
0.299065,-1.00462e-06,1,2.5,1
0.300935,-3.26257e-06,1,2.50001,1
0.302804,-5.83634e-06,1,2.50001,1
0.304673,-8.95522e-06,1,2.50001,1
0.306542,-1.28729e-05,1,2.50001,1
0.308411,-1.78753e-05,1,2.50002,1
0.31028,-2.42864e-05,1,2.50002,1
0.312149,-3.24715e-05,1,2.50003,1
0.314018,-4.2836e-05,1,2.50003,1
0.315888,-5.58203e-05,1,2.50005,1
0.317757,-7.1887e-05,1,2.50006,1
0.319626,-9.15028e-05,1,2.50007,1
0.321495,-0.00011511,1,2.50009,1
0.323364,-0.000143093,1,2.50012,1
0.325233,-0.000175734,1,2.50014,1
0.327101,-0.000213162,1,2.50017,1
0.32897,-0.000255303,1,2.50021,1
0.330839,-0.000301822,1,2.50025,1
0.332708,-0.00035208,1,2.50029,1
0.334576,-0.000405092,1,2.50034,1
0.336445,-0.00045951,1,2.50038,1
0.338313,-0.000513622,1,2.50043,1
0.340181,-0.000565387,1,2.50047,1
0.34205,-0.000612504,1,2.50051,1
0.343918,-0.000652629,1,2.50055,1
0.345786,-0.00068382,1,2.50058,1
0.347654,-0.000703838,1,2.5006,1
0.349522,-0.000704192,1,2.50058,1
0.35139,-0.000627183,1,2.50048,1
0.353258,-0.000330178,1,2.50017,1
0.355128,0.000389509,1,2.49949,1
0.356998,0.00177051,1,2.49825,1
0.358872,0.00404465,1,2.49625,1
0.36075,0.0073811,1,2.49337,1
0.362634,0.0118416,1,2.48955,1
0.364527,0.0173703,1,2.48485,1
0.366429,0.023817,1,2.47939,1
0.368343,0.0309926,1,2.47331,1
0.370268,0.0387097,1,2.46677,1
0.372207,0.046818,1,2.4599,1
0.374159,0.0552092,1,2.4528,1
0.376126,0.063806,1,2.44553,1
0.378108,0.0725683,1,2.43814,1
0.380104,0.0814556,1,2.43066,1
0.382116,0.0904563,1,2.4231,1
0.384144,0.0995493,1,2.41548,1
0.386188,0.108723,1,2.40781,1
0.388248,0.117979,1,2.4001,1
0.390324,0.127291,1,2.39235,1
