x,y,vx,vy,rho,e,P
0.288,0.0207553,1.83554e-06,0.000428983,0.505442,2.5,0.505442
0.3,0.0207253,-2.90094e-06,0.000170783,416.681,2.5,416.681
0.312,0.0207736,6.23639e-06,0.000790118,308.811,2.5,308.811
0.323999,0.0207248,-8.56642e-06,0.000161399,1139.71,2.5,1139.71
0.336,0.0207528,3.73632e-06,0.00040426,38.4297,2.5,38.4297
0.348001,0.0207262,8.97874e-06,0.000178609,265.179,2.5,265.179
0.36,0.0207493,-2.07333e-06,0.000486328,317.914,2.5,317.914
0.372,0.02071,-4.34092e-06,-9.3934e-05,1555.58,2.5,1555.58
0.384,0.0207255,-2.4887e-06,0.000158374,510.077,2.5,510.077
0.396,0.0207369,4.05476e-06,0.000359256,331.765,2.5,331.765
0.408,0.0207926,-1.47635e-06,0.000810876,439.323,2.5,439.323
0.42,0.0207255,2.88317e-06,0.000167609,634.503,2.5,634.503
0.432,0.0207531,-1.98897e-05,0.000813775,9.6269,2.5,9.6269
0.444,0.0207224,3.9933e-06,-0.000107632,91.983,2.5,91.983
0.456004,0.0207225,2.39107e-05,0.000159368,1346.11,2.5,1346.11
0.468,0.0207473,-5.90864e-06,0.000264293,925.865,2.5,925.865
0.48,0.0208296,2.21422e-06,0.000810522,719.216,2.5,719.215
0.491999,0.0207273,-5.9318e-06,0.00047755,681.508,2.5,681.508
0.504001,0.020747,3.22633e-06,0.000301186,2054.79,2.5,2054.79
0.516,0.0207151,-4.56848e-06,-0.000429813,1054.49,2.5,1054.49
0.528,0.020692,5.53454e-06,1.10558e-05,82.6083,2.5,82.6083
0.54,0.0209058,1.61894e-06,0.00127337,147.349,2.5,147.349
0.551999,0.0206402,-5.33203e-06,-0.000771263,3320.22,2.5,3320.22
0.564,0.0206905,-2.98864e-06,5.51476e-06,103.032,2.5,103.032
0.576001,0.0207284,2.27975e-06,0.000192441,818.921,2.5,818.921
0.588,0.0207825,2.68087e-06,0.000633076,112.382,2.5,112.382
0.600001,0.020697,5.59322e-06,4.59257e-05,7.76405,1.795,5.57459
0.66,0.0208494,0,0.00143844,184.441,1.795,132.429
0.72,0.0208494,0,0.00143844,184.441,1.795,132.429
0.78,0.0208494,0,0.00143844,184.441,1.795,132.429
0.84,0.0208494,0,0.00143844,184.441,1.795,132.429
0.9,0.0208494,0,0.00143844,184.441,1.795,132.429
0.96,0.0208494,0,0.00143844,184.441,1.795,132.429
1.02,0.0208494,0,0.00143844,184.441,1.795,132.429
1.08,0.0208494,0,0.00143844,184.441,1.795,132.429
1.14,0.0208494,0,0.00143844,184.441,1.795,132.429
1.2,0.0208494,0,0.00143844,184.441,1.795,132.429
0.0119995,0.0308702,-4.79366e-06,8.92188e-05,2918.02,2.5,2918.02
0.0239992,0.0309587,-6.68985e-06,-0.000587651,31.62,2.5,31.62
0.0359998,0.0310301,-2.82684e-06,-0.000358285,23.7501,2.5,23.7501
0.0480006,0.0310325,4.59673e-06,-1.93486e-05,2.16283,2.5,2.16283
0.0600024,0.0309781,1.67013e-05,-0.000344305,19.4934,2.5,19.4934
0.0720011,0.0310493,6.47362e-06,0.000201812,1.95471,2.5,1.95471
0.0839869,0.031033,-6.7772e-05,-1.22379e-05,914.911,2.5,914.911
0.0959992,0.0309662,-5.2723e-06,-0.000692622,3732.85,2.5,3732.85
0.108001,0.031034,-1.29477e-06,-2.17258e-05,969.045,2.5,969.045
0.119999,0.0310165,-6.10984e-06,-9.59708e-05,68.0144,2.5,68.0144
0.132,0.0310124,-5.53883e-06,-0.000275718,23.4391,2.5,23.4391
0.144001,0.0310326,5.58054e-06,-0.000574075,6.02542,2.5,6.02542
0.155999,0.031034,-5.50975e-06,-8.08443e-06,15.0133,2.5,15.0133
0.168001,0.0310337,6.90012e-07,-8.38603e-06,11.7653,2.5,11.7653
0.18,0.0310334,5.25732e-06,-1.15846e-05,2420.71,2.5,2420.71
0.192,0.0310441,-5.69173e-06,0.000119158,9373.28,2.5,9373.28
0.204,0.0310345,-3.69511e-06,-7.82918e-07,2326.94,2.5,2326.94
0.216,0.0310614,4.01091e-06,0.000562274,3.08062,2.5,3.08062
0.228,0.0310347,-5.78393e-06,3.38691e-06,2.41224,2.5,2.41224
0.24,0.031034,2.96971e-06,-4.88183e-06,2.97152,2.5,2.97152
0.252,0.0310987,-3.92983e-06,0.000575039,478.01,2.5,478.01
0.264001,0.0308625,1.50306e-05,-0.00190033,1731.8,2.5,1731.8
0.276,0.0310348,3.05606e-06,7.76568e-06,402.485,2.5,402.485
0.287999,0.031033,-9.98462e-06,-1.17266e-05,1.22356,2.5,1.22356
0.3,0.0310334,1.327e-06,-8.44186e-06,0.349466,2.5,0.349466
0.312,0.0310343,5.97856e-06,3.48767e-06,618.709,2.5,618.709
0.324,0.031034,-5.35373e-06,-3.53919e-06,1507.44,2.5,1507.44
0.336,0.031035,-5.08797e-06,2.16909e-06,64.481,2.5,64.481
0.348001,0.0310333,8.34467e-06,-9.70067e-06,300.277,2.5,300.277
0.36,0.0310333,-4.51824e-06,-8.82022e-06,1306.39,2.5,1306.39
0.371992,0.0310599,-6.99621e-05,0.000347511,775.834,2.5,775.834
0.384005,0.0310279,1.0511e-05,-0.000280887,155.742,2.5,155.742
0.396003,0.0310304,5.62425e-05,-0.000121249,53.6804,2.5,53.6804
0.408,0.0310337,-3.18136e-07,6.60474e-07,165.045,2.5,165.045
0.42,0.0310338,-3.26289e-06,-5.64556e-06,889.768,2.5,889.768
0.431994,0.0310287,-4.98037e-05,-0.000173006,81.9555,2.5,81.9555
0.444003,0.0310127,5.12307e-05,9.17369e-05,324.165,2.5,324.165
0.456,0.0310334,1.21705e-06,-8.95569e-06,79.0697,2.5,79.0697
0.468,0.0310459,-9.63766e-07,0.000154845,1.9924,2.5,1.9924
0.479999,0.0310324,-7.46224e-07,-1.7108e-05,0.373583,2.5,0.373583
0.492001,0.0310332,3.3006e-06,-8.8331e-06,0.386612,2.5,0.386612
0.504011,0.0310338,4.78868e-05,-6.82722e-06,5.31531,2.5,5.31531
0.516,0.0310493,8.63082e-06,0.000613434,38.7834,2.5,38.7834
0.528001,0.0310339,3.45543e-06,-1.35477e-08,244.658,2.5,244.658
0.54,0.0309749,-7.27065e-06,-0.000409308,81.7041,2.5,81.7041
0.551998,0.0310721,-2.02014e-05,0.000604279,8.38195,2.5,8.38195
0.564001,0.0310344,1.39783e-05,-5.74939e-06,126.696,2.5,126.696
0.576001,0.0309212,4.80852e-06,-0.000594042,122.561,2.5,122.561
0.587999,0.0309592,7.34516e-07,-0.000522899,123.202,2.5,123.202
0.600003,0.0309298,1.87836e-05,-0.000884326,15.4049,1.795,11.0607
0.66,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
0.72,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
0.78,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
0.84,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
0.9,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
0.96,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
1.02,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
1.08,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
1.14,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
1.2,0.0309169,0,-0.00177292,34.9001,1.795,25.0583
0.0119981,0.0414865,-1.5798e-05,0.000591934,5482.63,2.5,5482.63
0.0239998,0.0414547,-8.67297e-07,0.000580871,2784.81,2.5,2784.81
0.0359994,0.0414044,-8.54504e-06,0.000957019,113.665,2.5,113.664
0.0479972,0.0412827,-1.21289e-05,-0.000581216,27.3389,2.5,27.3389
0.0599999,0.0414321,1.43344e-06,0.000314098,95.2354,2.5,95.2354
0.072,0.0413634,-1.61503e-06,-0.000141215,83.5681,2.5,83.5681
0.0840002,0.0413718,3.36848e-08,-0.000162265,16.6761,2.5,16.6761
0.0960001,0.0414329,4.76084e-06,0.000698268,987.508,2.5,987.508
0.108001,0.0413793,2.53151e-06,5.6087e-06,31.9737,2.5,31.9737
0.12,0.0413833,1.63677e-05,-8.67744e-05,185.699,2.5,185.699
0.132,0.0414033,1.58646e-06,1.94796e-05,49.771,2.5,49.771
0.144,0.0413808,-3.62555e-07,0.000576585,92.9473,2.5,92.9473
0.156,0.0412215,-1.65429e-06,-0.00121454,23.0678,2.5,23.0678
0.168,0.0413659,3.4429e-06,-0.000273732,94.6191,2.5,94.6191
0.18,0.0413799,3.60674e-06,-0.000506947,66.151,2.5,66.151
0.192,0.0413802,-5.68989e-06,2.4191e-06,2421.89,2.5,2421.89
0.204,0.0413794,-4.42534e-06,-3.10143e-06,20.6566,2.5,20.6566
0.216,0.0413479,3.00564e-07,-0.000640419,0.280736,2.5,0.280736
0.228,0.041433,5.94243e-07,0.000458761,1.44836,2.5,1.44836
0.24,0.0413758,3.36548e-06,-6.18754e-05,20.363,2.5,20.363
0.251956,0.0413893,-0.000606487,0.000587012,4.38459,2.5,4.38459
0.264043,0.0415054,0.000592206,0.00126841,460.781,2.5,460.78
0.275993,0.04138,-5.1999e-05,-1.4312e-06,1.28177,2.5,1.28177
0.287999,0.0413803,-7.82294e-06,1.0387e-05,0.343489,2.5,0.343489
0.300001,0.0413804,8.61735e-06,7.14664e-06,0.408536,2.5,0.408536
0.312007,0.0413801,6.0944e-05,4.94322e-06,428.639,2.5,428.639
0.324,0.0413801,-7.09003e-06,4.74643e-06,86.4091,2.5,86.4091
0.335983,0.0413801,-0.000145226,5.22394e-06,32.6085,2.5,32.6085
0.348018,0.0413801,0.000150587,4.08292e-07,23.6227,2.5,23.6227
0.359999,0.0413726,-7.91173e-06,-0.000265317,311.756,2.5,311.756
0.372,0.0413806,-8.71106e-07,2.39758e-06,3.30186,2.5,3.30186
0.384001,0.0413783,1.27185e-05,-7.35745e-05,38.7911,2.5,38.7911
0.396,0.0413839,-2.92271e-06,0.000123,339.634,2.5,339.634
0.408,0.0413791,2.54131e-06,-9.97878e-06,371.012,2.5,371.012
0.42,0.0413801,-2.89451e-06,2.98924e-06,298.68,2.5,298.68
0.432,0.041382,1.61758e-06,-0.000458805,0.611725,2.5,0.611725
0.444,0.0414067,-3.37328e-06,0.000224562,81.537,2.5,81.537
0.455996,0.0413388,-5.63607e-05,-0.000498089,0.230639,2.5,0.230639
0.468004,0.0413783,5.98822e-05,-6.25008e-06,0.270502,2.5,0.270502
0.479973,0.0413808,-0.000195646,1.22391e-05,0.280557,2.5,0.280557
0.492027,0.0412852,0.000196956,-0.000563728,5.28427,2.5,5.28427
0.504,0.0413804,-6.21409e-07,7.92591e-06,18.7688,2.5,18.7688
0.516,0.0413796,-1.70072e-06,-1.16898e-06,7.77929,2.5,7.77929
0.528003,0.041377,1.69876e-05,-2.23132e-05,79.112,2.5,79.112
0.540001,0.041396,1.30679e-07,-0.000159299,13.3019,2.5,13.3019
0.552,0.0413967,-1.79802e-06,0.000167465,65.6515,2.5,65.6515
0.563999,0.04138,-8.46517e-06,8.17961e-06,58.6963,2.5,58.6963
0.575998,0.0414912,-5.41161e-06,0.00057968,127.298,2.5,127.298
0.588001,0.0413047,5.59425e-06,-0.000361967,91.0871,2.5,91.0871
0.600003,0.0414641,2.51838e-05,0.000284506,87.8139,1.795,63.0504
0.66,0.0414797,0,0.00126309,16.8042,1.795,12.0654
0.72,0.0414797,0,0.00126309,16.8042,1.795,12.0654
0.78,0.0414797,0,0.00126309,16.8042,1.795,12.0654
0.84,0.0414797,0,0.00126309,16.8042,1.795,12.0654
0.9,0.0414797,0,0.00126309,16.8042,1.795,12.0654
0.96,0.0414797,0,0.00126309,16.8042,1.795,12.0654
1.02,0.0414797,0,0.00126309,16.8042,1.795,12.0654
1.08,0.0414797,0,0.00126309,16.8042,1.795,12.0654
1.14,0.0414797,0,0.00126309,16.8042,1.795,12.0654
1.2,0.0414797,0,0.00126309,16.8042,1.795,12.0654
0.0119989,0.0517415,-9.23247e-06,8.33256e-06,6635.31,2.5,6635.31
0.0240002,0.0515974,-6.77521e-07,-0.000632314,7761.65,2.5,7761.65
0.0360001,0.0517252,4.3219e-06,2.15451e-05,2795.33,2.5,2795.33
0.048,0.0518228,-2.19909e-06,0.000598131,7.31279,2.5,7.31279
0.0599876,0.0516989,-6.45407e-05,-0.000120114,88.6187,2.5,88.6187
0.0719987,0.0517176,-3.30092e-06,1.99037e-05,197.43,2.5,197.43
0.0840014,0.0517134,1.04344e-05,8.43394e-05,89.6984,2.5,89.6984
0.0959992,0.0517908,-4.63007e-06,0.000513876,255.503,2.5,255.503
0.108001,0.0517036,3.3856e-06,-0.000100842,98.8301,2.5,98.8301
0.119999,0.0517174,-1.49596e-05,9.09411e-05,38.319,2.5,38.319
0.132,0.0517524,-3.20681e-06,0.000458206,18.2766,2.5,18.2766
0.143989,0.0517031,-5.75776e-05,-9.87262e-05,13.5171,2.5,13.5171
0.15592,0.051779,-0.000597276,0.000502812,13.073,2.5,13.073
0.168081,0.0516068,0.000612508,-0.00195617,62.1,2.5,62.1
0.180001,0.0517017,5.93886e-06,5.22436e-05,554.499,2.5,554.499
0.192,0.0517029,-1.1284e-06,-0.000102866,53.3122,2.5,53.3122
0.204,0.051675,-6.01849e-06,-0.000335438,10.4234,2.5,10.4234
0.216,0.0517174,3.21698e-06,9.89209e-06,144.489,2.5,144.489
0.228,0.0517031,9.27328e-06,-0.000102598,233.81,2.5,233.81
0.24,0.0516523,-4.84155e-06,-0.00064838,228.38,2.5,228.38
0.251997,0.0517034,-0.000574156,-0.000102119,3.46549,2.5,3.46549
0.264003,0.051749,0.000571955,0.00052516,8.84297,2.5,8.84297
0.276,0.0517023,6.32503e-06,-0.000112029,1.18978,2.5,1.18978
0.288,0.0517034,1.90541e-06,-9.97092e-05,92.0655,2.5,92.0655
0.3,0.0516826,-6.47217e-06,-0.000691176,0.963293,2.5,0.963293
0.312,0.0516712,1.29818e-06,-0.000694717,2036.87,2.5,2036.87
0.324,0.0517025,4.09776e-06,-0.000104283,285.872,2.5,285.872
